JD astero_mag astero_magerr star1_mag star1_magerr star2_mag star2_magerr star3_mag star3_magerr flag 
2457241.31131 -12.1556 0.004 -10.4812 0.0166 -13.5913 0.0011 -12.3559 0.0034 0 
2457241.31235 -12.1641 0.0038 -10.5146 0.0172 -13.6005 0.0011 -12.3744 0.0033 0 
2457241.3134 -12.1714 0.004 -10.5087 0.018 -13.6155 0.0013 -12.3757 0.0034 0 
2457241.31446 -12.1659 0.0037 -10.5281 0.015 -13.6137 0.001 -12.371 0.0031 0 
2457241.3155 -12.1675 0.0036 -10.4998 0.015 -13.6049 0.001 -12.3636 0.0032 0 
2457241.31655 -12.1571 0.0035 -10.5409 0.0146 -13.6075 0.001 -12.376 0.003 0 
2457241.31759 -12.16 0.0037 -10.4959 0.0152 -13.6011 0.001 -12.3709 0.0031 0 
2457241.31865 -12.1463 0.0038 -10.5012 0.0153 -13.6029 0.0011 -12.3473 0.0032 0 
2457241.31969 -12.1407 0.0039 -10.5019 0.017 -13.6039 0.0011 -12.368 0.0033 0 
2457241.32074 -12.1513 0.0039 -10.5075 0.0171 -13.6255 0.0012 -12.371 0.0033 0 
2457241.32178 -12.164 0.0038 -10.5045 0.0167 -13.625 0.0011 -12.3815 0.0032 0 
2457241.32284 -12.1652 0.0037 -10.5113 0.016 -13.6238 0.0011 -12.3796 0.0032 0 
2457241.32389 -12.1571 0.0036 -10.5263 0.0158 -13.6137 0.001 -12.3697 0.0031 0 
2457241.32494 -12.1521 0.0037 -10.5371 0.0164 -13.6156 0.001 -12.3806 0.0031 0 
2457241.32598 -12.1565 0.0036 -10.5129 0.0137 -13.6185 0.001 -12.3677 0.003 0 
2457241.32704 -12.16 0.0035 -10.5398 0.0136 -13.6259 0.001 -12.3862 0.003 0 
2457241.32808 -12.1553 0.0035 -10.5255 0.0141 -13.6241 0.001 -12.3792 0.0029 0 
2457241.32913 -12.1491 0.0035 -10.5743 0.0144 -13.6266 0.001 -12.3926 0.003 0 
2457241.33019 -12.1491 0.0036 -10.5409 0.0153 -13.6281 0.001 -12.3933 0.003 0 
2457241.33123 -12.155 0.004 -10.561 0.018 -13.6269 0.0011 -12.3882 0.0033 0 
2457241.33306 -12.145 0.0032 -10.5228 0.013 -13.6297 0.0009 -12.3864 0.0027 0 
2457241.33411 -12.1487 0.0034 -10.5221 0.0133 -13.6295 0.0009 -12.3882 0.0027 0 
